year,exploitation_rate,Lp_L_ratio,V_W_ratio,source,last_updated,methodology
1969,2.1,0.508,0.444,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1970,2.1,0.507,0.44,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1971,2.1,0.506,0.436,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1972,2.1,0.505,0.432,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1973,2.1,0.504,0.428,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1974,2.1,0.503,0.424,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1975,2.1,0.502,0.42,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1976,2.1,0.501,0.416,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1977,2.1,0.5,0.412,Book Table 5.7,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1978,2.1283333333333334,0.4883333333333333,0.408,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1979,2.1566666666666667,0.4766666666666667,0.404,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1980,2.185,0.4649999999999999,0.4,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1981,2.2133333333333334,0.4533333333333333,0.3955555555555555,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1982,2.2416666666666667,0.4416666666666666,0.3911111111111111,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1983,2.27,0.43,0.3866666666666666,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1984,2.2983333333333333,0.4183333333333333,0.3822222222222222,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1985,2.3266666666666667,0.4066666666666667,0.3777777777777777,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1986,2.355,0.395,0.3733333333333333,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1987,2.3833333333333333,0.3833333333333333,0.3688888888888889,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1988,2.411666666666666,0.3716666666666667,0.3644444444444444,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1989,2.44,0.36,0.36,Book Table 5.7,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1990,2.5382857142857143,0.35,0.35,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1991,2.5586206896551724,0.348,0.348,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1992,2.5791907514450867,0.346,0.346,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1993,2.5999999999999996,0.34400000000000003,0.34400000000000003,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1994,2.621052631578947,0.342,0.342,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1995,2.6423529411764703,0.34,0.34,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1996,2.6857142857142855,0.336,0.336,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1997,2.7301204819277105,0.332,0.332,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1998,2.7756097560975608,0.328,0.328,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1999,2.822222222222222,0.324,0.324,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2000,2.8699999999999997,0.32,0.32,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2001,2.894339622641509,0.318,0.318,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2002,2.9189873417721515,0.316,0.316,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2003,2.9439490445859873,0.314,0.314,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2004,2.969230769230769,0.312,0.312,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2005,2.994838709677419,0.31,0.31,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2006,3.020779220779221,0.308,0.308,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2007,3.0470588235294116,0.306,0.306,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2008,3.0736842105263156,0.304,0.304,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2009,3.1006622516556295,0.302,0.302,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2010,3.128,0.3,0.3,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2011,3.155704697986577,0.298,0.298,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2012,3.1837837837837837,0.296,0.296,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2013,3.2122448979591836,0.294,0.294,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2014,3.241095890410959,0.292,0.292,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2015,3.2703448275862073,0.29,0.29,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2016,3.3,0.288,0.288,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2017,3.3300699300699304,0.286,0.286,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2018,3.3605633802816897,0.28400000000000003,0.28400000000000003,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2019,3.391489361702127,0.28200000000000003,0.28200000000000003,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2020,3.4228571428571426,0.28,0.28,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2021,3.4627027027027024,0.2775,0.2775,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2022,3.5032727272727264,0.275,0.275,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2023,3.5445871559633026,0.2725,0.2725,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
2024,3.586666666666666,0.27,0.27,BLS CES production worker ratios + book methodology,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
