Table_20.1,GNP_by_economic_activity_at_current_prices,Unit:Million_TL
Year,GNP_TL,GNP_pct_change,Agriculture_TL,Agriculture_pct_change,Industry_TL,Industry_pct_change,Services_TL,Services_pct_change
1990,397177547,72.4,66725079,79.3,98368742,61.3,232083727,75.6
1991,634392841,59.7,91913101,37.7,158972771,61.6,383506969,65.2
1992,1103604909,74.0,156051193,69.8,273151962,71.8,674401755,75.9
1993,1997322597,81.0,293733744,88.2,472662764,73.0,1230926089,82.5
1994,3887902917,94.7,572670842,95.0,992554144,110.0,2322677930,88.7
1995,7854887167,102.0,1163076914,103.1,2004573408,102.0,4687236845,101.8
1996,14978067282,90.7,2350374597,102.1,3575765244,78.4,9051927441,93.1
1997,29393262147,96.2,3925650028,67.0,6970059642,94.9,18497552477,104.3
1998,53518331580,82.1,8809970804,124.4,11186214668,60.5,33522146108,81.2
1999,78282966809,46.3,11300776507,28.3,16954220934,51.6,50027969368,49.2
2000,125596128755,60.4,17002973501,50.5,28068845936,65.6,80524309318,61.0
2001,176483953021,40.5,20389344763,19.9,43136288257,53.7,112958320002,40.3
2002,275032365953,55.8,31537336905,54.7,67330648603,56.1,176164380446,56.0
2003,356680888222,29.7,41562744271,31.8,85724212704,27.3,229393931247,30.2
2004,428932343026,20.3,47630198242,14.6,102606699228,19.7,278695445556,21.5
2005,486401032274,13.4,49069171028,3.0,118670580632,15.7,318661280613,14.3
2006,575783962136,18.4,52050392706,6.1,141447201239,19.2,382286368191,20.0
Note: Imputed bank service charges deducted from sectors. 2005-2006 data in YTL (New Turkish Lira).
Source: TurkStat National Accounts Chapter.
