figure_id,document_id,file,chars,preview
F00020,1994_Measuring_Wealth,figure_3.4_description.md,2702,# Figure 3.4: Division of Value - Production and Trade  **Location**: Page 66 (book page 46) **Type**: Two vertical bar charts (production and trade s
F00021,1994_Measuring_Wealth,figure_3.5_description.md,2765,# Figure 3.5: Use of Product - Production and Trade  **Location**: Page 67 (book page 47) **Type**: Flow diagram showing product allocation  ## Descri
F00022,1994_Measuring_Wealth,figure_3.6_description.md,4909,# Figure 3.6: IO Accounts and Marxian Categories - Production and Trade  **Location**: Page 68 (book page 48) **Type**: Input-Output table (2-sector) 
F00023,1994_Measuring_Wealth,figures_summary.md,4149,"# Figures 3.7, 3.8, 3.9 - Summary Descriptions  ## Figure 3.7: IO Accounts and Marxian Categories - Primary Flows (page 72)  **Type**: Complex IO tabl"
F00024,1994_Measuring_Wealth,figure_3.11_overall_summary.md,3317,# Figure 3.11: IO Accounts and Marxian Categories - Overall Summary (page 74)  **Type**: Comprehensive IO table showing complete sectoral structure  *
F00025,1994_Measuring_Wealth,figure_4.1_condensed_form.md,3593,# Figure 4.1: IO Accounts and Marxian Categories - Condensed Form (page 79)  **Type**: Simplified IO table for labor value calculations  **Context**: 
F00026,1994_Measuring_Wealth,figure_4.2_numerical_example.md,4890,"# Figure 4.2: Production, Trade, and Royalties Sectors - Numerical Example (page 83)  **Type**: Simplified 3-sector IO table with labor flows  **Purpo"
F00027,1994_Measuring_Wealth,figure_4.3_coefficient_matrix.md,3933,# Figure 4.3: Input-Output Coefficients Matrix and Labor Coefficients Vector (page 83)  **Type**: Derived coefficient matrices from Figure 4.2  **Purp
F00028,1994_Measuring_Wealth,figure_5.1_empirical_summary_mapping.md,5139,# Figure 5.1: IO Accounts and Marxian Categories - Summary Mapping for Empirical Work (page 90)  **Type**: Condensed IO table for benchmark year empir
F00029,1994_Measuring_Wealth,figures_5.3_to_5.7_summary.md,6909,"# Figures 5.3-5.7: Empirical Trends in Marxian Categories (1948-1989)  **Source**: Pages 106-107 (book pages), PDF pages 5-6 **Data Source**: Table 5."
F00030,1994_Measuring_Wealth,figures_5.8_to_5.15_summary.md,8979,"# Figures 5.8-5.15: Wages, Variable Capital, and Surplus Value (1948-1989)  **Source**: Pages 118-121 (book pages), PDF pages 7-10 **Data Sources**: T"
F00031,1994_Measuring_Wealth,figures_5.23_to_5.26_summary.md,8146,"# Figures 5.23-5.26: Net Transfer Rate and Approximations  **Source**: Pages 142, 145, 150 (book pages), PDF pages 1, 4, 9 **Data Sources**: Table N.2"
F00032,1994_Measuring_Wealth,figure_6.1_description.md,3622,"# Figure 6.1: Theoretical bases for the type of empirical estimates  **Location**: Page 154, Chapter 6 **Type**: Tree diagram / flowchart **Source**: "
F00033,1994_Measuring_Wealth,figure_6.2_description.md,4711,"# Figure 6.2: Rate of surplus value S*/V* and profit/wage ratio P*/EC  **Location**: Page 155, Chapter 6 **Type**: Time series graph **Source**: Table"
F00034,1994_Measuring_Wealth,figure_6.3_description.md,6618,"# Figure 6.3: Wage shares in advanced capitalist countries, 1950-70  **Location**: Page 156, Chapter 6 **Type**: Multi-country time series graph **Sou"
F00035,1994_Measuring_Wealth,figure_6.8_aglietta_real_wage.md,3897,"# Figure 6.8: Aglietta's real social wage cost versus the unit value of labor power  **Location**: Page 183, Chapter 6 **Type**: Line graph comparing "
F00036,1994_Measuring_Wealth,figure_6.9_rates_comparison.md,5083,"# Figure 6.9: Rates of surplus value: Moseley, Shaikh, Tonak, Shaikh and Tonak  **Location**: Page 187, Chapter 6 **Type**: Line graph comparing four "
F00037,2001_Cronin_New_Zealand,figures.md,6845,# Figures from Cronin (2001)  ## Figure 1: Relationship between conventional national accounts and classical categories assuming all activity of firms
F00038,2011_Paitaridis_Tsoulfidis,figures_1_through_8.md,27692,"# Figures - 2011 Paitaridis & Tsoulfidis: All Figures  **Source**: Paitaridis, D., & Tsoulfidis, L. (2011). ""The Growth of Unproductive Activities, th"
F00039,2017_Moos_NSW_21st_Century,all_figures.md,19093,"# Figures - 2017 Moos NSW in 21st Century  **Source**: Moos, Katherine A. (2017). ""Neoliberal Redistributive Policy: The U.S. Net Social Wage in the 2"
F00040,2022_Karabacak_Tonak_NSW_Turkey,all_figures.md,9165,"# Figures - 2022 Karabacak & Tonak NSW Turkey Study  **Source**: Karabacak, Z., & Tonak, E. A. (2022). The Net Social Wage in Turkey, 1980–2019. *Revi"
F00041,2024_Savran_Tonak_Tracks_Marx_Capital,figure_01_description.md,7430,# Figure 1: Classification of Human Economic Activities  ## Location - **Chunk**: 012 - **Page**: 92 (page 8 of PDF chunk) - **Section**: Section 2 - 
F00042,2024_Savran_Tonak_Tracks_Marx_Capital,figure_02_description.md,7907,"# Figure 2: Classification of Labour Under Capitalism  **Location**: Page 103 (book page), page 9 (PDF page)  **Type**: Hierarchical flowchart/decisio"
F00043,2024_Savran_Tonak_Tracks_Marx_Capital,figure_01_wage_labour_classification.md,2151,"# Figure 3: Classification of Wage Labourers Under Capitalism  **Source**: Savran & Tonak 2024, Page 117 (chunk page 3) **Figure Type**: Hierarchical "
F00044,2024_Savran_Tonak_Tracks_Marx_Capital,figure_001_flows_of_surplus_value.md,2581,"# Figure 1: Flows of Surplus-Value  **Location:** Page 190 (Book page 166), Chapter 8  **Type:** Hierarchical flowchart/diagram  **Caption:** Fig. 1 F"
F00045,2024_Savran_Tonak_Tracks_Marx_Capital,figures_description.md,1735,# Figures Extracted from Pages 191-200 (Chunk 020)  ## Figure 2: Profit upon Alienation  **Type**: Flowchart/Diagram  **Location**: Page 168 (printed 
F00046,2024_Savran_Tonak_Tracks_Marx_Capital,figure_01_productive_labour_for_capital.md,1729,# Figure 1: Productive Labour for Capital  ## Description A hierarchical flowchart diagram illustrating the classification of economic activities as p
F00047,2024_Savran_Tonak_Tracks_Marx_Capital,figure_02_description.md,1705,# Figure 2: Rates of Exploitation of Productive and Unproductive Workers  **Page**: 192 (book page 192)  **Type**: Line graph with time series data  #
F00048,2024_Savran_Tonak_Tracks_Marx_Capital,figure_03_description.md,2872,"# Figure 3: Rates of Exploitation in Trade, Finance and Public Sectors  **Page**: 192 (book page 192)  **Type**: Multi-line graph with sectoral breakd"
F00049,2024_Savran_Tonak_Tracks_Marx_Capital,figure_01_social_wage_economic_crisis.md,1401,# Figure 1: Social Wage and Economic Crisis in English-Language Books  **Location**: Page 201 (book page 201)  **Type**: Line graph (Google N-Gram ana
F00050,2024_Savran_Tonak_Tracks_Marx_Capital,figure_02_mixed_economy.md,1252,"# Figure 2: Capitalist Production—The ""Mixed Economy""  **Location**: Page 204 (book page 204)  **Type**: Circuit diagram  **Description**: This figure"
F00051,2024_Savran_Tonak_Tracks_Marx_Capital,figure_03_production_state.md,1488,"# Figure 3: Capitalist Production and the State—The ""Mixed Economy""  **Location**: Page 204 (book page 204)  **Type**: Circuit diagram with taxation a"
F00052,2024_Savran_Tonak_Tracks_Marx_Capital,figure_04_productive_unproductive.md,1796,# Figure 4: Capitalist Productive and Unproductive Activities  **Location**: Page 205 (book page 205)  **Type**: Circuit diagram showing surplus-value
F00053,2024_Savran_Tonak_Tracks_Marx_Capital,figure_05_state_intervention_profits.md,1556,# Figure 5: State Intervention in Profits  **Location**: Page 206 (book page 206)  **Type**: Flow diagram showing state intervention in capital income
F00054,2024_Savran_Tonak_Tracks_Marx_Capital,figure_06_state_intervention_labour.md,2329,# Figure 6: State Intervention in Labour Income  **Location**: Page 206 (book page 206)  **Type**: Flow diagram showing state intervention in labour i
F00055,2024_Savran_Tonak_Tracks_Marx_Capital,figures_descriptions.md,5128,"# Figures from Pages 241-250 (218-227)  ## Figure 7: Benefit ratio, tax ratio and net social wage ratio (as a percentage of GDP), 1980-2019  **Type**:"
F00056,2024_Savran_Tonak_Tracks_Marx_Capital,figure_descriptions.md,2983,# Figure Descriptions - Chapter 11  ## Figure 1: U.S.A. I-O Networks (Page 244)  **Caption**: U.S.A. I-O networks; a and b in the conventional form; c
F00057,2024_Savran_Tonak_Tracks_Marx_Capital,figure_01_facebook_surplus_value_production.md,2811,"# Figure 1: Facebook and Surplus-Value Production  **Source:** Chapter 12, Page 261  **Type:** Flow diagram showing two-stage production process  ## D"
F00058,2024_Savran_Tonak_Tracks_Marx_Capital,figures.md,5590,# Figures from Chunk 035 (Pages 321-330)  ## Figure 1: Developing Economies FDI Share with and without China  **Location:** Page 323  **Type:** Line g
F00059,2024_Savran_Tonak_Tracks_Marx_Capital,figures.md,6761,"# Figures Extracted from Chunk 036  ## Figure 1: Lost GDP Compared to Previous Average Growth Rate, 2008–2013  **Location**: Page 359 (Page 340 in boo"
F00060,2024_Savran_Tonak_Tracks_Marx_Capital,figures.md,8474,"# Figures - Chunk 037 (Pages 361-370)  ## Figure 4: Interest Rate Policy of Central Banks of Advanced Countries, Q1 2008 to Q3 2018  **Page**: 342 (36"
F00061,2024_Savran_Tonak_Tracks_Marx_Capital,figure_008_rate_of_profit_g20_1950_2019.md,5701,"# Figure 8: The Rate of Profit of the G20, 1950-2019  ## Source Information - **Location**: Page 366 - **Author**: Roberts, M. (2022) - **Data Source*"
F00062,2024_Savran_Tonak_Tracks_Marx_Capital,figures.md,3332,"# Figures - Chunk 042  ## Overview  This chunk does not contain any figures, diagrams, charts, or visual elements beyond the single table (Table 1).  "
