equation_id,document_id,file,chars,latex_expressions,preview
E00012,1985_Semmler_Nonlinear_Cycles,equations.md,11719,218,"# Equations - Chunk 03 ## Semmler (1985) - Competition, Instability, and Nonlinear Cycles  ---  ## Section 2: The Nonlinear Growth Cycle Model in Disc"
E00013,1985_Semmler_Nonlinear_Cycles,equations.md,5868,72,# Equations - Chunk 05  ## Paper 1: Reproduction Scheme Conclusion (Pages 320-323)  ### No explicit mathematical equations in this section This conclu
E00014,1994_Measuring_Wealth,equation_footnote_28.md,2397,41,"# Equation: Social Savings Rate and Growth  **Location**: Footnote 28, Page 38 (book page 18) **Context**: Impact of social consumption on growth rate"
E00015,1994_Measuring_Wealth,labor_value_calculations.md,3713,73,"# Equations: Labor Value Calculations (Chapter 4, Section 4.1)  ## Unit Labor Values Formula (page 80)  ### Definitions:  - **λj**: Labor value per un"
E00016,1994_Measuring_Wealth,labor_value_formulas.md,5268,183,# Equations: Labor Value Formulas and Approximations (Chapter 4)  ## Section 4.1: Labor Value Calculations with Money Flows (page 81)  ### Matrix Form
E00017,1994_Measuring_Wealth,wage_and_surplus_formulas.md,5981,231,"# Equations: Wage, Variable Capital, and Surplus Value Formulas  **Source**: Pages 112-114 (book pages), Sections 5.3-5.4  ---  ## Section 5.3: Total "
E00018,1994_Measuring_Wealth,profit_rate_formulas.md,3909,106,"# Equations: Profit Rates and Exploitation Rates  **Source**: Pages 122-131, Sections 5.5-5.7  ---  ## Section 5.5: Three Measures of the Rate of Prof"
E00019,1994_Measuring_Wealth,productivity_formulas.md,3144,42,"# Equations: Productivity Measures and Decompositions  **Source**: Pages 131-132 (book pages), Section 5.7  ---  ## Marxian Productivity Measure  $$q^"
E00020,1994_Measuring_Wealth,aglietta_relationship.md,5613,0,"# Equations: Aglietta's Real Social Wage Cost Relationship  **Location**: Pages 182-183, Chapter 6 **Context**: Analysis of Aglietta (1979) methodolog"
E00021,2001_Cronin_New_Zealand,equations.tex,1412,57,% Equations extracted from Cronin (2001) % New Zealand economic analysis using classical categories  \documentclass{article} \usepackage{amsmath}  \be
E00022,2011_Paitaridis_Tsoulfidis,core_formulas.md,12063,111,"# Equations - 2011 Paitaridis & Tsoulfidis: Core Formulas  **Source**: Paitaridis, D., & Tsoulfidis, L. (2011). ""The Growth of Unproductive Activities"
E00023,2017_Moos_NSW_21st_Century,nsw_equations.md,13693,23,"# Equations - 2017 Moos NSW in 21st Century  **Source**: Moos, Katherine A. (2017). ""Neoliberal Redistributive Policy: The U.S. Net Social Wage in the"
E00024,2022_Karabacak_Tonak_NSW_Turkey,nsw_equations.md,11907,47,"# Equations - 2022 Karabacak & Tonak NSW Turkey Study  **Source**: Karabacak, Z., & Tonak, E. A. (2022). The Net Social Wage in Turkey, 1980–2019. *Re"
E00025,2024_Savran_Tonak_Tracks_Marx_Capital,equations.md,1884,8,"# Equations - Chunk 013  ## Equation 1: Circuit of Capital  **Location**: Page 95 (book page), page 1 (PDF page)  **Context**: ""The formula for the ci"
E00026,2024_Savran_Tonak_Tracks_Marx_Capital,equations.tex,4511,154,% Equations Extracted from Pages 191-200 (Chunk 020) % Chapter 8: Clarification and Application of the Category of Profit upon Alienation  % Note: Thi
E00027,2024_Savran_Tonak_Tracks_Marx_Capital,equation_01_exploitation_rate_unproductive.tex,930,29,% Equation 1: Rate of Exploitation of Unproductive Workers % Source: Shaikh and Tonak (1994) % Page: 190 (book page) % Context: Formula for calculatin
E00028,2024_Savran_Tonak_Tracks_Marx_Capital,equations.md,5891,104,# Equations Extracted from Chunk 023 (Pages 221-230)  ## Circuit of Capital Equations  ### Equation 1: Surplus-Value Definition (Page 204) **Location*
E00029,2024_Savran_Tonak_Tracks_Marx_Capital,equations.tex,2043,9,"% Equations from chunk_024 (pages 231-240 / internal pages 208-217) % Chapter 10: The Net Social Wage in Turkey, 1980-2019 % Authors: Y. Karabacak and"
E00030,2024_Savran_Tonak_Tracks_Marx_Capital,equations.tex,980,13,"% HDARP 3.3 Extraction - Equations from Chunk 026 (Pages 251-260 / Book Pages 228-238) % Book: In the Tracks of Marx's Capital (Savran & Tonak, 2024) "
E00031,2024_Savran_Tonak_Tracks_Marx_Capital,equations_counting_betweenness.tex,1088,22,% Equations from Chapter 11: Recasting Input-Output Networks in a Marxist Framework % Pages 241-242: Counting Betweenness Centrality Measure  % Equati
E00032,2024_Savran_Tonak_Tracks_Marx_Capital,equations.tex,442,5,% Equations from chunk_031_pages_301-310 % Chapter 13: Lean Production and Flexibility  % Equation 1: Toyota Production System Capacity Formula (Page 
E00033,2024_Savran_Tonak_Tracks_Marx_Capital,equations.md,1145,0,# Equations - Chunk 037 (Pages 361-370)  ## No Mathematical Equations Found  This chunk does not contain any mathematical equations or formulas requir
E00034,2024_Savran_Tonak_Tracks_Marx_Capital,equations.md,8453,0,# Equations and Mathematical Concepts from Chunk 039  ## Note on Mathematical Content This chunk (pages 362-371) contains extensive discussion of Marx
E00035,2024_Savran_Tonak_Tracks_Marx_Capital,equations.md,873,0,# Equations - Chunk 041 (Pages 401-410)  ## Analysis  This chunk contains **NO mathematical equations**.  The content consists of: - References sectio
E00036,2024_Savran_Tonak_Tracks_Marx_Capital,equations.md,5194,0,"# Equations - Chunk 042  ## Overview  This chunk does not contain formal mathematical equations in symbolic notation. However, it does discuss several"
E00037,2024_Savran_Tonak_Tracks_Marx_Capital,equations.md,2273,0,# Equations - Chunk 043 (Pages 404-413)  ## Note on Mathematical Content  This chunk contains primarily discursive theoretical argumentation rather th
E00038,2024_Savran_Tonak_Tracks_Marx_Capital,equations.md,1437,0,# Equations - Chunk 044 (Pages 431-440)  ## Note on Mathematical Content  This chunk contains primarily theoretical and argumentative text discussing 
E00039,2024_Savran_Tonak_Tracks_Marx_Capital,equations.md,2021,0,# Equations - Chunk 045 (Pages 441-450)  ## No Formal Equations Present  This chunk does not contain formal mathematical equations or symbolic formula
E00040,2024_Savran_Tonak_Tracks_Marx_Capital,equations.md,579,0,# Equations - Chunk 046 (Pages 451-460)  ## Analysis  This chunk contains **NO MATHEMATICAL EQUATIONS**.  The content consists of: 1. Conclusion of Ch
